t_ms,state,temp,bno_ax,bno_ay,bno_az,gx,gy,gz,kx_ax,kx_ay,kx_az,alt,vel,lat,lon,heading,volt_ram_diff,volt_main_primary,volt_main2,volt_drogue_primary,volt_drogue2,volt_drogue,volt_main,gps_lat,gps_lon,gps_hdg,gps_alt_agl,state_name,dp,volt_dp
4093054,1,41.369998931884766,38.85453414916992,-0.534831702709198,-1.8719110488891602,-0.26507189869880676,0.05563237518072128,0.08617563545703888,101.48865509033203,-1.1353031396865845,-3.0336787700653076,15.53125,17.94672966003418,,,,0.01812555454671383,2.7423713207244873,0.2731333374977112,2.69805908203125,0.0,,,,,,,FLIGHT_READY,0.0,0.01812555454671383
4093072,1,41.369998931884766,38.85453414916992,-0.13866008818149567,-1.3667922019958496,-0.28361600637435913,0.05999569222331047,0.08835729211568832,101.767822265625,-0.2791728973388672,-2.1403255462646484,16.02191162109375,17.46425437927246,,,,0.01825055666267872,2.725451946258545,0.2761334478855133,2.7165896892547607,0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.01825055666267872
4093088,1,41.369998931884766,38.85453414916992,-0.5645446181297302,-1.8917196989059448,-0.3327034115791321,0.06981316953897476,0.07526732236146927,101.767822265625,-0.2791728973388672,-2.1403255462646484,16.26251220703125,17.46425437927246,,,,0.01812555454671383,2.7359256744384766,0.2783834934234619,2.7246463298797607,-0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.01812555454671383
4093104,1,41.369998931884766,38.85453414916992,-0.7131089568138123,-1.4262179136276245,-0.38615408539772034,0.06326818466186523,0.07090400159358978,102.73562622070312,0.09305763244628906,-2.363663911819458,16.69183349609375,17.46425437927246,,,,0.018375560641288757,2.664170265197754,0.2821336090564728,2.7206180095672607,-0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.018375560641288757
4093121,1,41.369998931884766,38.85453414916992,-0.8616733551025391,-1.5747822523117065,-0.42978736758232117,0.05890486389398575,0.08399397134780884,103.2381362915039,-1.7680950164794922,-2.2147715091705322,16.8758544921875,17.46425437927246,,,,0.01825055666267872,2.7198121547698975,0.28363367915153503,2.7206180095672607,0.0,,,,,,,FLIGHT_READY,0.0,0.01825055666267872
4093139,1,41.369998931884766,38.85453414916992,-0.38626736402511597,-2.149231195449829,-0.4570581316947937,0.07635816186666489,0.0719948336482048,103.59175109863281,-2.7545058727264404,-2.4939444065093994,17.3712158203125,20.068723678588867,,,,0.01800055056810379,2.7004761695861816,0.28338366746902466,2.7149782180786133,-0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.01800055056810379
4093156,1,41.36000061035156,38.85453414916992,-0.35655447840690613,-2.020475387573242,-0.5399612188339233,0.06981316953897476,0.06544984877109528,103.46147155761719,-0.13028068840503693,-3.42452073097229,17.55523681640625,20.068723678588867,,,,0.01825055666267872,2.6875851154327393,0.28700876235961914,2.726257562637329,-0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.01825055666267872
4093172,1,41.36000061035156,38.85453414916992,-0.8418647646903992,-1.7431553602218628,-0.5628687143325806,0.06763151288032532,0.05999569222331047,103.21952056884766,0.1116691529750824,-3.9828665256500244,17.80059814453125,20.068723678588867,,,,0.01800055056810379,2.7165896892547607,0.2896338403224945,2.7036986351013184,0.0,,,,,,,FLIGHT_READY,0.0,0.01800055056810379
4093188,1,41.36000061035156,38.85453414916992,-0.48531025648117065,-1.6243038177490234,-0.6206827163696289,0.06872234493494034,0.05563237518072128,103.21952056884766,0.1116691529750824,-3.9828665256500244,18.09783935546875,20.068723678588867,,,,0.01812555454671383,2.71014404296875,0.2920089066028595,2.7359256744384766,0.0,,,,,,,FLIGHT_READY,0.0,0.01812555454671383
4093204,1,41.369998931884766,38.85453414916992,-0.4754059910774231,-1.8421982526779175,-0.689405083656311,0.0665406808257103,0.039269909262657166,104.67122650146484,-0.8933532238006592,-4.075924396514893,18.3431396484375,18.23858070373535,,,,0.018375560641288757,2.6996703147888184,0.29563403129577637,2.680283784866333,0.0,,,,,,,FLIGHT_READY,0.0,0.018375560641288757
4093219,1,41.36000061035156,38.85453414916992,-1.079567790031433,-1.7233467102050781,-0.7243116497993469,0.06217735633254051,0.04254240170121193,103.36841583251953,-1.4516990184783936,-4.317873954772949,18.654541015625,18.23858070373535,,,,0.01800055056810379,2.701281785964966,0.300009161233902,2.694836139678955,0.0,,,,,,,FLIGHT_READY,0.0,0.01800055056810379
4093236,1,41.369998931884766,38.85453414916992,-0.13866008818149567,-1.8124853372573853,-0.7744898200035095,0.06763151288032532,0.03708824887871742,99.60888671875,-1.9169871807098389,-4.485377788543701,18.83380126953125,18.23858070373535,,,,0.01812555454671383,2.6996703147888184,0.3030092418193817,2.713366985321045,0.0,,,,,,,FLIGHT_READY,0.0,0.01812555454671383
4093253,1,41.36000061035156,38.85453414916992,-0.7428218722343445,-1.931336760520935,-0.8584839105606079,0.05563237518072128,0.019634954631328583,97.20800018310547,-1.3586413860321045,-4.22481632232666,19.4471435546875,18.23858070373535,,,,0.01787554658949375,2.7036986351013184,0.30700936913490295,2.7004761695861816,0.0,,,,,,,FLIGHT_READY,0.0,0.01787554658949375
4093271,1,41.36000061035156,38.85453414916992,-0.15846866369247437,-1.852102518081665,-0.9010262489318848,0.0512690506875515,0.028361601755023003,99.73916625976562,-0.6514034271240234,-3.871197462081909,19.6925048828125,20.758525848388672,,,,0.01800055056810379,2.7165896892547607,0.31138449907302856,2.641611337661743,0.0,,,,,,,FLIGHT_READY,0.0,0.01800055056810379
4093287,1,41.36000061035156,38.85453414916992,-0.6833961009979248,-1.782772421836853,-0.9741119146347046,0.04363323375582695,0.007635816000401974,99.73916625976562,-0.6514034271240234,-3.871197462081909,20.18316650390625,20.758525848388672,,,,0.01812555454671383,2.7238404750823975,0.3163846731185913,2.677061080932617,-0.00012500381853897125,,,,,,,FLIGHT_READY,0.0,0.01812555454671383
4093304,1,41.36000061035156,38.85453414916992,-0.376363068819046,-1.8223896026611328,-1.0395617485046387,0.04145156964659691,0.0,104.16870880126953,-1.5447566509246826,-3.871197462081909,20.42852783203125,20.758525848388672,,,,0.018375560641288757,2.6924192905426025,0.31838473677635193,2.718200922012329,0.0,,,,,,,FLIGHT_READY,0.0,0.018375560641288757
